Facility ID,County Name Of Facility Location,Facility Name,Facility Type,Phone Number,Permit Type,Email Address,Location Address Line 1,Location City,Location State,Location Zip Code,Full Address ,Mailing Address Line 1,Mailing City,Mailing State,Mailing Zip Code
02000035,Alexander,LULU'S CHILD ENRICHMENT CENTER,,(828) 632-9200,Five Star Center License,,135 ONE COMFORTABLE PLACE,TAYLORSVILLE,NC,28681,,135 ONE COMFORTABLE PLACE,TAYLORSVILLE,NC,28681
02000056,Alexander,MILLERSVILLE CHILD DEVELOPMENT CENTER,,(828) 635-0530,Five Star Center License,bonnie.canter@millersvillebc.com,130 MILLERSVILLE RD,TAYLORSVILLE,NC,28681,,,,,
02000080,Alexander,ELLENDALE ELEMENTARY BEFORE/AFTER SCHOOL CARE,,(828) 622-0042,Three Star Center License,mjones@alexander.k12.nc.us,175 ELLENDALE PARK LANE,TAYLORSVILLE,NC,28681,,700 LILEDOUN ROAD,TAYLORSVILLE,NC,28681
02000085,Alexander,WITTENBURG ELEMENTARY BEFORE / AFTER SCHOOL CARE,,(828) 635-1098,Three Star Center License,mjones@alexander.k12.nc.us,7300 CHURCH ROAD,TAYLORSVILLE,NC,28631,,700 LILEDOUN ROAD,TAYLORSVILLE,NC,28681
02000089,Alexander,STONY POINT ELEMENTARY CHILD CARE,,(828) 244-5615,Four Star Center License,mjones@alexander.k12.nc.us,311 STONY POINT SCHOOL ROAD,STONY POINT,NC,28678,,700 LILEDOUN ROAD,TAYLORSVILLE,NC,28681
02000090,Alexander,HIDDENITE ELEMENTARY CHILD CARE,,(828) 228-0409,Three Star Center License,mjones@alexander.k12.nc.us,374 SULFUR SPRINGS ROAD,HIDDENITE,NC,28636,,700 LILEDOUN ROAD,TAYLORSVILLE,NC,28636
02000091,Alexander,BETHLEHEM ELEMENTARY CHILD CARE,,(828) 632-3809,Three Star Center License,mjones@alexander.k12.nc.us,7900 NC HIGHWAY 127,TAYLORSVILLE,NC,28681,,700 LILEDOUN ROAD,TAYLORSVILLE,NC,28681
02000092,Alexander,TAYLORSVILLE ELEMENTARY CHILD CARE,,(828) 632-1564,Four Star Center License,mjones@alexander.k12.nc.us,100 7TH STREET SW,TAYLORSVILLE,NC,28681,,,,,
02000095,Alexander,"CALLING KIDS CHILD DEVELOPMENT CENTER, INC.",,(828) 632-1960,Three Star Center License,angelaadams913@gmail.com,191 ERVIN STREET,HIDDENITE,NC,28636,,1711 LILEDOUN ROAD,TAYLORSVILLE,NC,28681
02000104,Alexander,ALEXANDER EARLY HEAD START,,(828) 635-1479,Five Star Center License,dawn.curtin@enolagroup.org,401 EAST MAIN STREET,TAYLORSVILLE,NC,28681,,PO BOX 250,MORGANTON,NC,28680
02000107,Alexander,ALEXANDER COUNTY HEAD START - STONY POINT,,(828) 585-6981,Five Star Center License,mjones@alexander.k12.nc.us,311 STONY POINT SCHOOL ROAD,STONY POINT,NC,28678,,,,,
02000108,Alexander,ALEXANDER COUNTY HEAD START - WITTENBURG ELEM. SCH,,(828) 632-2395,Five Star Center License,mjones@alexander.k12.nc.us,7300 CHURCH ROAD,TAYLORSVILLE,NC,28681,,,,NC,
02000109,Alexander,THE TOT SPOT CHILDCARE CENTER,,(828) 381-8791,Three Star Center License,ritchie.sheila@gmail.com,1591 HWY 90 W,TAYLORSVILLE,NC,28681,,,,NC,
02000110,Alexander,MT BETHEL UMC CHILD DEVELOPMENT CENTER,,(828) 598-0121,Three Star Center License,childcaredirector9042@yahoo.com,9042 NC HWY 127 NORTH,HICKORY,NC,28601,,,,,
02000111,Alexander,HIDDENITE ELEMENTARY SCHOOL - NC PRE-K,,(828) 632-2395,Five Star Center License,mjones@alexander.k12.nc.us,374 SULPHUR SPRINGS ROAD,HIDDENITE,NC,28636,,,,NC,
02000112,Alexander,ALEXANDER COUNTY HEAD START-BETHLEHEM ELEMENTARY,,(828) 495-8198,Five Star Center License,mjones@alexander.k12.nc.us,7900 NC HWY 127,TAYLORSVILLE,NC,28681,,,,NC,
02000115,Alexander,BETHLEHEM BAPTIST DAYCARE,,(828) 303-0388,GS 110-106,childcare@bethlehembaptistnc.org,850 ANTIOCH CHURCH ROAD,TAYLORSVILLE,NC,28681,,,,,
02000117,Alexander,ALEXANDER COUNTY HEAD START - TAYLORSVILLE ELEM.,,(828) 632-3809,Five Star Center License,mjones@alexander.k12.nc.us,100 7TH STREET SW,TAYLORSVILLE,NC,28681,,,,,
02000121,Alexander,NEW BEGINNINGS CHILD ENRICHMENT CENTER,,(704) 585-2380,Three Star Center License,info@nbcec.com,4485 OLD MOUNTAIN ROAD,STONY POINT,NC,28678,,,,NC,
0250527,Alexander,FIRST BAPTIST CHURCH CHILD DEVELOPMENT CENTER,,(828) 632-7859,Four Star Center License,cgomezfbc@gmail.com,321 W MAIN ST,TAYLORSVILLE,NC,28681,,,,,
0255004,Alexander,ALEXANDER CENTRAL HIGH SCHOOL CHILD DEVELOPMENT CE,,(828) 632-7063,Three Star Center License,dabernathy@alexander.k12.nc.us,223 SCHOOL STREET,TAYLORSVILLE,NC,28681,,,,,
03000006,Alleghany,GAP CIVIL HEAD START,,(336) 372-8918,Five Star Center License,broten@brocinc.com,145 CRANFORD STREET,SPARTA,NC,28675,,710 VETERANS DRIVE,N WILKESBORO,NC,28659
03000039,Alleghany,SPARTA ELEMENTARY PRESCHOOL,,(336) 372-8546,Five Star Center License,Barnescr@alleghany.k12.nc.us,450 N MAIN ST,SPARTA,NC,28675,,,,,
03000040,Alleghany,GLADE CREEK ELEMENTARY PRESCHOOL,,(336) 657-3388,Five Star Center License,gcs@alleghany.k12.nc.us,32 GLADE VALLEY ROAD,ENNICE,NC,28623,,85 PEACHTREE STREET,SPARTA,NC,28675
03000043,Alleghany,PINEY CREEK SCHOOL PRE-K,,(336) 359-2024,Five Star Center License,murphysa@alleghany.k12.nc.us,559 PINEY CREEK SCHOOL ROAD,PINEY CREEK,NC,28663,,,,,
03000058,Alleghany,OLLIE'S SMALL WORLD LEARNING CENTER,,(336) 372-4775,Three Star Center License,ollieskids@yahoo.com,28 NORTH SPARTA PARKWAY,SPARTA,NC,28675,,PO BOX 896,SPARTA,NC,28675
03000062,Alleghany,BLUE RIDGE DEVELOPMENTAL DAY,,(336) 372-4300,Five Star Center License,khettleman@hotmail.com,711 ANDREWS RIDGE ROAD,SPARTA,NC,28675,,PO BOX 518,GLADE VALLEY,NC,28627
0359000,Alleghany,FREE WORSHIP CHRISTIAN DAY CARE CENTER,,(336) 372-8423,GS 110-106,ENichols@shawbrothersInc.com,43 TIMBERLAKE ST,SPARTA,NC,28675,,,,NC,
04000058,Anson,BACK 2 BASICS CHILD CARE CENTER,,(704) 695-4451,Five Star Center License,gramseur@windstream.net,283 RORIE MCCOY ROAD,MORVEN,NC,28119,,,,,
04000136,Anson,SUSIE'S DAY CARE,,(704) 694-5453,Four Star Center License,susiesdaycare@windstream.net,4472 NC 109 N,WADESBORO,NC,28170,,,,,
04000140,Anson,CENTRAL CENTER FOR CHILDREN & FAMILIES,,(704) 694-2120,Five Star Center License,mbassler@uccainc.org,351 WHITE STORE  ROAD,WADESBORO,NC,28170,,PO BOX 1029,MONROE,NC,28111
04000187,Anson,OPEN DOORS CENTER FOR CHILDREN,,(704) 694-4292,Five Star Center License,cuabove@hotmail.com,118 EAST MORGAN STREET,WADESBORO,NC,28170,,,,,
04000194,Anson,KID'S EXPRESS,,(704) 694-7008,Three Star Center License,jbrcjordan@yahoo.com,1705 MORVEN ROAD,WADESBORO,NC,28170,,710 EAST WADE STREET,WADESBORO,NC,28170
04000200,Anson,TINA MAYE'S DAY CARE CENTER #2,,(704) 695-1148,Three Star Center License,,503 NORTH RUTHERFORD STREET,WADESBORO,NC,28170,,,,NC,
04000201,Anson,SHIRLEY SMITH HAPPYFACE CHILDCARE CENTER,,(704) 270-4015,Four Star Center License,,677 FIRETOWER ROAD,WADESBORO,NC,28170,,63 DAVIDSON DRIVE,WADESBORO,NC,28170
04000204,Anson,MORVEN HEAD START CENTER,,(704) 851-9306,Five Star Center License,thornes@uccainc.org,6715 US HIGHWAY 52 SOUTH,MORVEN,NC,28119,,POST OFFICE BOX 1029,MONROE,NC,28111
04000208,Anson,TERESA PRATT TINY STEPS CHILDCARE CENTER,,(704) 851-3013,Four Star Center License,tp2807@yahoo.com,1525 CASON OLDFIELD ROAD,MORVEN,NC,28119,,POST OFFICE BOX 7,MORVEN,NC,28119
04000210,Anson,ANSON CHILDREN'S CENTER,,(704) 272-7076,Five Star Center License,gjohnson@rhanet.org,383 COTTON STREET,POLKTON,NC,28135,,,,,
04000212,Anson,BUTTERFLY EXPLOSION CHILD DEVELOPMENT CENTER,,(704) 272-0108,Four Star Center License,mrsmcclendon2003@yahoo.com,505 MOORE STREET,POLKTON,NC,28135,,140 HIGHLAND WOODS ROAD,WADESBORO,NC,28170
04000219,Anson,"BUTTERFLY EXPLOSION CHILD DEVELOPMENT CENTER, INC.",,(704) 272-7797,Four Star Center License,mrsmcclendon2003@yahoo.com,14 NEW ENGLAND STREET,PEACHLAND,NC,28133,,,,NC,
04000221,Anson,NEW PARKERS GROVE LITTLE DISCIPLES DAYCARE,,(704) 465-2188,Temporary License,ndisciples@yahoo.com,304 SALISBURY ST,WADESBORO,NC,28170,,,,NC,
04000222,Anson,HEARTS 2 GIVE,,(704) 294-8187,Temporary License,comadeeallen@gmail.com,16 NEW ENGLAND ST,PEACHLAND,NC,28133,,,,NC,
0405111,Anson,C'S & T'S CHILDCARE,,(704) 694-3180,Four Star Center License,mserababygirl@yahoo.com,414 MARSHALL ST,WADESBORO,NC,28170,,,,,
0455021,Anson,W&W DAY CARE #1,,(704) 272-8933,Three Star Center License,auntbunny_71@yahoo.com,2491 WINFIELD ROAD,POLKTON,NC,28135,,,,,
0455023,Anson,W & W #3,,(704) 694-7572,Three Star Center License,,609 SALISBURY STREET,WADESBORO,NC,28170,,2491 WINFIELD ROAD,POLKTON,NC,28135
05000010,Ashe,4-H BLUE RIDGE AFTER SCHOOL,,(336) 846-5850,Five Star Center License,,5778 NC HWY 88 WEST,LANSING,NC,28640,,134 GOVERNMENT CIRCLE SUITE#20,JEFFERSON,NC,28640
05000015,Ashe,ASHE CO. HEAD START SIZEMORE CENTER,,(336) 246-6448,Five Star Center License,headstartbrenda@charter.net,200 OAK STREET,JEFFERSON,NC,28640,,710 BEECH STREET,NORTH WILKESBORO,NC,28659
05000036,Ashe,4-H ASHE COUNTY MIDDLE SCHOOL AFTERSCHOOL,,(336) 384-1559,Five Star Center License,,255 NORHTWEST LN,WARRENSVILLE,NC,28693,,134 GOVERNMENT CIRCLE SUITE #2,JEFFERSON,NC,28640
05000051,Ashe,ASHE SUPPORT SERVICES EARLY LEARNING CENTER,,(336) 846-3221,Five Star Center License,teresa.stansberry@ashe.k12.nc.us,406 SCHOOL AVENUE,WEST JEFFERSON,NC,28640,,PO BOX 604,JEFFERSON,NC,28640
05000064,Ashe,4-H WESTWOOD AFTERSCHOOL,,(336) 846-5850,Five Star Center License,JenniferMiller@ashecountygov.com,4803 US HWY 221 SOUTH,WEST JEFFERSON,NC,28694,,134 GOVERNMENT SUITE 202,JEFFERSON,NC,28640
05000066,Ashe,GENERATIONS DEVELOPMENTAL DAY CENTER,,(336) 246-2655,Five Star Center License,jessicacarter@asheaging.org,180 CHATTYROB LANE,WEST JEFFERSON,NC,28694,,,,,
05000067,Ashe,LEARNING THRU PLAY TOO CHILD DEVELOPMENT CENTER,,(336) 846-4640,Five Star Center License,ltpinc123@yahoo.com,406 SCHOOL AVENUE,WEST JEFFERSON,NC,28694,,190 CAROLINA DRIVE,WEST JEFFERSON,NC,28694
05000070,Ashe,MT. JEFFERSON CHILD DEVELOPMENT CENTER,,(336) 846-2208,Five Star Center License,mjcdc@skybest.com,123 GENTRY STREET,JEFFERSON,NC,28640,,,,,
05000083,Ashe,THE LEARNING TREE ACADEMY,,(336) 846-3455,Four Star Center License,kimrgilley@yahoo.com,772 BUCK MOUNTAIN CIRCLE,WEST JEFFERSON,NC,28694,,213 FOREST  OAK LANE,JEFFERSON,NC,28640
0555002,Ashe,ASHE DEVELOPMENTAL DAY SCHOOL,,(336) 846-7791,Five Star Center License,dkillen@skybest.com,522 ACADEMY STREET,JEFFERSON,NC,28640,,,,,
0555024,Ashe,4-H MOUNTAIN VIEW AFTERSCHOOL,,(336) 846-5850,Three Star Center License,JenniferMiller@ashecountygov.com,2789 HWY 221/16,JEFFERSON,NC,28640,,134 GOVERNMENT CIR  SUITE 202,JEFFERSON,NC,28640
06000032,Avery,RIVERSIDE PRE-KINDERGARTEN,,(828) 737-5600,Five Star Center License,reneebanner@averyschools.net,8020 US 19E HWY S,NEWLAND,NC,28657,,,,,
06000033,Avery,FREEDOM TRAIL PRE-KINDERGARTEN,,(828) 733-4744,Five Star Center License,reneebanner@averyschools.net,6110 N HWY 19E,ELK PARK,NC,28622,,,,,
06000040,Avery,CROSSNORE PREKINDERGARTEN,,(828) 737-7204,Five Star Center License,reneebanner@averyschools.net,1000 WALT CLARK ROAD,CROSSNORE,NC,28616,,P O BOX 566,CROSSNORE,NC,28616
06000043,Avery,AVERY COUNTY HEAD START CENTER,,(828) 733-7114,Four Star Center License,headstart@ccvn.com,3280 LINVILLE FALLS HWY,NEWLAND,NC,28657,,P O BOX 338,SPRUCE PINE,NC,28777
06000049,Avery,NEWLAND PRE-KINDERGARTEN,,(828) 733-4911,Five Star Center License,reneebanner@averyschools.net,750 LINVILLE STREET,NEWLAND,NC,28657,,,,,
06000056,Avery,NEWLAND 4-H W.O.W. PROGRAM,,(828) 733-8270,Four Star Center License,,750 LINVILLE STREET,NEWLAND,NC,28657,,805 CRANBERRY STREET,NEWLAND,NC,28657
